08:50:50.456 INFO  Initializing database module 
08:50:51.272 INFO  Connection was successfull 
08:50:51.273 INFO  Database connection was successfull 
08:50:51.274 INFO  Starting application 
08:50:51.275 INFO  Initializing web server module 
08:56:09.605 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:07:30.180 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:38:02.329 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:38:18.898 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:44:34.570 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:46:51.142 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:50:26.741 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:51:48.620 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:41:47.728 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:47:28.979 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:50:20.354 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:52:08.991 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:54:10.102 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:59:35.163 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:01:29.005 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:03:14.141 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:24:34.785 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:24:42.499 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
11:26:42.563 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:26:49.739 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
11:29:44.842 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:29:53.225 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
11:30:14.591 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
12:21:47.142 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
12:21:55.081 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
12:24:40.935 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
12:24:47.821 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
12:29:15.968 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
12:29:22.898 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
12:30:49.966 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
12:30:56.284 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
12:32:24.778 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
12:32:30.215 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
12:34:49.398 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
12:34:53.839 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
13:46:58.547 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
14:19:03.061 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
14:19:08.852 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
14:24:43.179 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
14:24:54.363 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
14:29:09.477 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
14:29:15.087 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
14:31:10.375 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
14:31:16.093 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
14:33:11.725 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
14:33:17.577 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
