09:23:09.121 INFO  Initializing database module 
09:23:09.974 INFO  Connection was successfull 
09:23:09.975 INFO  Database connection was successfull 
09:23:09.976 INFO  Starting application 
09:23:09.977 INFO  Initializing web server module 
09:52:16.058 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:52:22.718 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
09:55:08.286 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
09:55:13.541 INFO  Consulta exitosa {"GAMEDAY_ID":51587} 
10:36:48.492 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:40:04.438 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:42:51.372 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:44:20.225 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
10:45:20.356 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"1","GAMEDAY_ID_TO":"2"} 
10:45:20.379 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"1","GAMEDAY_ID_TO":"2"} 
10:47:12.493 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:38:44.605 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
11:39:13.319 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"1","GAMEDAY_ID_TO":"2"} 
11:39:13.324 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"1","GAMEDAY_ID_TO":"2"} 
15:20:36.611 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:20:59.073 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:20:59.148 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:25:51.122 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:26:04.180 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:26:04.254 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:30:50.473 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:31:03.454 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:31:03.493 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:33:17.038 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:33:38.855 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:33:38.905 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:36:35.020 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:36:47.917 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:36:47.986 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:38:58.169 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:39:05.157 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:39:05.195 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:41:34.508 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:41:41.356 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:41:41.397 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:44:58.624 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:45:06.920 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:45:07.005 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:49:26.794 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:49:33.149 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:49:33.203 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:51:20.494 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:51:26.936 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:51:26.985 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:53:01.001 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
15:53:08.029 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
15:53:08.130 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:28:30.475 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
16:28:37.215 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:28:37.258 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:30:00.564 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
16:30:08.227 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:30:08.268 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:31:42.358 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
16:31:50.366 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:31:50.442 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:35:21.162 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
16:35:29.551 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:35:29.592 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:39:06.011 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
16:39:14.310 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:39:14.380 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
16:40:01.277 INFO  Consulta exitosa {"HU_USERNAME":"GESTOR"} 
16:40:06.709 INFO  Consulta exitosa {"GAMEDAY_ID_FROM":"51645","GAMEDAY_ID_TO":"51730"} 
